amplicon_number	hyperparameter
1	0.007533512541076621
2	0.02767618845998162
3	0.030169514301094887
4	0.018233595026705032
5	0.0016878743951310054
6	0.02715855712172903
7	0.0026698595142282994
8	0.005778761408710266
9	0.0016779502129690297
10	0.005525558609975004
11	0.006807989081838418
12	0.0021466109183949263
13	0.004374528680170751
14	0.0005046593710132816
15	0.006995021748942277
16	0.007389280884406435
17	0.0005181964714565418
18	0.00021403743964596293
19	0.006689916758234656
20	0.002601378111792528
21	0.0048012685205559
22	0.004418451200997809
23	0.0002084078290188338
24	0.0031791295227257114
25	0.007003673599701107
26	0.008130429174311005
27	0.01281262832906025
28	0.004949054503985394
29	0.006512808273292774
30	0.010505795728274503
31	0.005384759548070195
32	0.014680274176731227
33	0.0011011675018799336
34	0.01495692629968695
35	0.0057802000442856395
36	0.010896451471873542
37	0.01300067885479396
38	0.010875746217972429
39	0.0037831491988844666
40	0.02606841305738737
41	0.009747582785824662
42	0.02153570876789385
43	0.018983434011156902
44	0.014110754979538658
45	0.003528937451317395
46	0.0017564540938052396
47	0.016147153589280486
48	0.009743443254329178
49	0.009783462522118171
50	0.002176887855355813
51	0.0250822257543859
52	0.03970569127772254
53	0.0229279147883668
54	0.005370393939179089
55	0.0014150866146431299
56	0.016917938325398747
57	0.04453031506411878
58	0.01739715268474561
59	0.008978331417972035
60	0.0078103708582404055
61	0.006711291920242384
62	0.02549739708647131
63	0.007747478342273363
64	0.0001511732964605174
65	0.001340602032187678
66	0.000261411612801104
67	0.0011802142988387508
68	0.009023499143827742
69	0.010279417173211569
70	0.0030828376205943395
71	0.000620388629023076
72	0.013069255778315608
73	0.007325318894012021
74	0.00011649823340578883
75	0.004823661546758621
76	0.001653676208378846
77	0.022883637664812516
78	0.0028692991029258064
79	0.005606654086345046
80	0.007417469964258894
81	0.0037800956044444375
82	0.017382715565589135
83	0.0069990932075773005
84	0.019779753601445682
85	0.001345108406020517
86	0.003575273408818495
87	0.004127950919167515
88	0.03099800960592256
89	0.0022428652075625216
90	0.015034508639722529
91	0.00017710848475637768
92	0.013652245874092908
93	0.025205387397109584
94	0.00918115842358328
95	0.0013049027438838312
96	0.024153301842097793
97	0.004241188383439318
98	0.052106505903242
